freq,sigma_ext,sigma_sc,d_wall_p
2115,0.00016155242495447691,7.7437122067478383e-05,1.8999999999999999
2120,0.0001558956298438847,7.5566183795790153e-05,1.8999999999999999
2125,0.00015067815159338903,7.3814897079595634e-05,1.8999999999999999
2130,0.00014587478327400668,7.2173725433984288e-05,1.8999999999999999
2135,0.00014146099571817937,7.0634079540306499e-05,1.8999999999999999
2140,0.00013741260724956552,6.9188206690232166e-05,1.8999999999999999
2145,0.00013370554305604617,6.7829094941433042e-05,1.8999999999999999
2150,0.00013031567605235596,6.65503897993173e-05,1.8999999999999999
2155,0.00012721874133123049,6.5346321589828708e-05,1.8999999999999999
2160,0.00012439031650091737,6.4211641985665961e-05,1.8999999999999999
2165,0.00012180586017613537,6.3141568394065359e-05,1.8999999999999999
2170,0.00011944080095214082,6.213173510799095e-05,1.8999999999999999
2175,0.00011727066898268085,6.1178150303379703e-05,1.8999999999999999
2180,0.00011527126241329413,6.0277158090483418e-05,1.8999999999999999
2185,0.00011341884075134397,5.9425404957246238e-05,1.8999999999999999
2190,0.0001116903373737231,5.8619810032021204e-05,1.8999999999999999
2195,0.00011006358346217253,5.7857538679132142e-05,1.8999999999999999
2200,0.00010851753581229596,5.7135979011633339e-05,1.8999999999999999
2205,0.00010703250133287627,5.6452720959436337e-05,1.8999999999999999
2210,0.00010559035131884528,5.580553758634832e-05,1.8999999999999999
2215,0.00010417471916118883,5.5192368385488736e-05,1.8999999999999999
2220,0.00010277117565491803,5.4611304325214994e-05,1.8999999999999999
2225,0.00010136737677789992,5.4060574442015461e-05,1.8999999999999999
2230,9.9953179529939495e-05,5.3538533804156776e-05,1.8999999999999999
2235,9.8520722208908208e-05,5.3043652695070226e-05,1.8999999999999999
2240,9.7064466455549904e-05,5.2574506880290943e-05,1.8999999999999999
2245,9.5581199192647625e-05,5.2129768839571809e-05,1.8999999999999999
2250,9.4069993593262323e-05,5.1708199861528715e-05,1.8999999999999999
2255,9.2532129148019198e-05,5.1308642905750261e-05,1.8999999999999999
2260,9.0970971818641705e-05,5.0930016151597992e-05,1.8999999999999999
2265,8.939181615646927e-05,5.0571307161881732e-05,1.8999999999999999
2270,8.7801692192708962e-05,5.0231567592685452e-05,1.8999999999999999
2275,8.6209140596302708e-05,4.9909908395478575e-05,1.8999999999999999
2280,8.4623960435659096e-05,4.9605495455227081e-05,1.8999999999999999
2285,8.3056934415676412e-05,4.9317545619315071e-05,1.8999999999999999
2290,8.1519537030083058e-05,4.9045323076563388e-05,1.8999999999999999
2295,8.0023631464279509e-05,4.8788136046041472e-05,1.8999999999999999
2300,7.8581161360327144e-05,4.8545333743399192e-05,1.8999999999999999
2305,7.7203843724081906e-05,4.83163035948924e-05,1.8999999999999999
2310,7.5902869237087466e-05,4.8100468670851406e-05,1.8999999999999999
2315,7.4688616161542687e-05,4.7897285316581293e-05,1.8999999999999999
2320,7.3570383743510698e-05,4.7706240957519102e-05,1.8999999999999999
2325,7.2556150656336312e-05,4.7526852062299825e-05,1.8999999999999999
2330,7.1652363528652735e-05,4.7358662245816016e-05,1.8999999999999999
2335,7.0863760000067967e-05,4.720124049987354e-05,1.8999999999999999
